sentence1,sentence2,label
उसके बाद बीएसपी की चीफ और यूपी की पूर्व मुख्यमंत्री मायावती को लेकर भी पोस्टर जारी हुआ था,गोरखपुर में कांग्रेस के कार्यकर्ताओं की तरफ से राहुल गांधी का सिंघम अवतार वाला पोस्टर जारी किया गया है,NP
इस दौरान कई लड़कियों के पैरों में दर्द होने लगा। मुर्गा बने लड़कों की हालत भी खराब हो गई।,कई लड़कियों के पैरों में इस दौरान दर्द होने लगा। मुर्गा बने लड़कों की हालत भी ख़राब हो गई।,P
"इसका नाम विवेकानंद ब्रिज है, फ्लाई ओवर को बनाने का काम पिछले तीन साल से चल रहा था।","बताया जा रहा है कि पुल तंग जगह में बन रहा थी, इस वजह से वहां ट्रॉफिक भी बाधित हो गई है।",NP
एक नाव पानी के ऊपर शांति से चल रही है,एक नाव लंगर है,NP
पाकिस्तान  के एफ-16 विमान चौकस थे।,इस डील को लेकर पाकिस्तान के कुछ आर्मी जनरल बेहद नाराज थे|,NP
"सबसे पहले, अधिकांश सवार हील और एक चिकनी, काफी पतले तले वाले राइडिंग बूट्स पहनते हैं।","सबसे पहले, अधिकांश सवार एक एड़ी और एक चिकनी, काफी संकीर्ण, एकमात्र के साथ सवारी के जूते पहनते हैं।",NP
बंदर मार्शल आर्ट्स का अभ्यास कर रहा है,एक दस्तानेदार व्यक्ति एक बंदर के हाथ पर लात मार रहा है,NP
"1963 में बाँध बनने के बाद, मौसमी बाढ़ जो पूरे नदी में तलछट फैला देगी वह रुक गई थी.","१९६३ में बांध ोंके निर्माण के बाद, मौसमी बाढ़ जो पूरी नदी में तलछट फैल जाएगी, को रोक दिया गया था ।",P
न्यायमूर्ति दीपक मिश्रा और शिवकीर्ति सिंह की खंड़पीठ ने अटॉर्नी जनरल मुकुल रहतोगी से कहा कि वे उत्तराखंड़ में शीर्ष न्यायालय की देख-रेख में शक्ति परीक्षण की संभावनाओं पर निर्देश लें और केन्द्र की राय से न्यायालय को बुधवार तक अवगत कराए।,आदित्यनाथ शादी कर मर्दानगी साबित करें : आजम खान,NP
"पहले पड़ाव में वे बेल्जियम की राजधानी ब्रसेल्स जा रहे हैं, उनकी सिक्युरिटी के लिए वहां बेल्जियम की आर्मी लगाई गई है।",प्रधानमंत्री नरेन्द्र मोदी का तीस मार्च को बेल्जियम प्रधानमंत्री चार्ल्से मिशेल से ब्रुसेल्सन में मिलने का कार्यक्रम है।,NP
शेफ ध्यान से कुछ तेल एक पैन में डाल रहा है,एक आदमी द्वारा एक पैन में कुछ तरल पदार्थ डाला जा रहा है,P
चांद की सतह चट्टानों और धूल से बनी है. चांद की बाहरी परत को क्रस्ट कहते हैं.,चांद की सतह चट्टानों और धूल से बनी है।चन्द्रमा की बाहरी परत को क्रस्ट कहा जाता है।,NP
"    मुलायम के पास 2 घर, एक इटावा और एक लखनऊ में, जबकि एक घर सैफई में है।  मुलायम की कुल संपत्ति 15 करोड़ 96 लाख है। ","  वहीं, कल्याण सिंह के पास भी एक बिल्डिंग है और कुल संपत्‍ति‍ 60 लाख की है। ",NP
आदमी एक टमाटर काट रहा है,एक महिला एक गाजर काट रही है,NP
अगस्ता डील पर किरीट सोमैया के आरोपों से खुश हुए राहुल गांधी,अगस्ता डील पर किरीट सोमैया के आरोपों से  मैं खुश हुं : राहुल गांधी,P
ऑस्ट्रेलिया के पूर्व क्रिकेटर माइकल हसी ने कहा है कि धोनी अब भी कप्तानी के लिए बेस्ट हैं और हसी ने यह भी कहा कि बल्लेबाजी में भी धोनी चुके नहीं हैं।,"उन्होंने भारतीय गेंदबाजी के बारे में कहा, 'मुझे भारत के गेंदबाज पसंद है और  ईशांत शर्मा और उमेश यादव अच्छे गेंदबाज है।",NP
इंडोनेशिया की राजधानी जकार्ता में आतंकियों ने आत्मघाती हमला किया,जकार्ता में धमाकों के बाद  स्टारबक्स कैफे के पास फायरिंग अभी भी चल रही है।,NP
आदमी एक चट्टानी पहाड़ पर खड़ा है और ग्रे बादल पृष्ठभूमि में हैं,वह व्यक्ति किसी चट्टानी पहाड़ पर खड़ा नहीं है और भूरे बादल पृष्ठभूमि में नहीं हैं,NP
एक आदमी गिटार खेल रहा है,एक आदमी गिटार नहीं खेल रहा है,NP
एक झील में एक फ्रिस्बी के लिए लड़ने वाले कुत्ते नहीं हैं,एक झील में दो कुत्ते एक फ्रिस्बी के लिए लड़ रहे हैं,NP
विराट कोहली पर लग सकता है एक मैच का बैन, कोहली पर लग सकता है एक मैच का बैन,P
मक्खन को एक महिला ने चाकू से काटा जा रहा है,चाकू वाली महिला एक मिर्च काट रही है,P
  सिक्युरिटी फोर्सेस ने पत्थरबाजों को कंट्रोल करने में पैलेट गन का इस्तेमाल किया। इससे 400 से ज्यादा घायल हुए हैं।,महबूबा से तीखा सवाल हुआ  घाटी में सेना के बल प्रयोग पर आपने स्टैंड क्यों बदला? इसका उन्होंने उतना ही तीखा जवाब दिया।,NP
नैनीताल और पौड़ी में भेजे वायुसेना हेलीकॉप्टर आग बुझाने में व्यस्त है|,राज भवन के अधिकारियों ने बताया कि एनडीआरएफ की तीन और एसडीआरएफ की एक कंपनी राज्य के अलग-अलग हिस्सों में आग बुझाने में व्यस्त है|,P
मिलान कोर्ट की रूलिंग में सोनिया-मनमोहन का नाम है|,केंद्रीय मंत्री रविशंकर प्रसाद ने कहा कि  भाजपा संसद में इस मुद्दे पर कांग्रेस पर प्रहार करेगी।,NP
राज्य में सभी वन अधिकारियों और कर्मचारियों की छुट्टी रद्द कर दी गई है।,राज्य के सभी वन कर्मियों की छुट्टियां रद्द कर दी गयी हैं|,P
"  भारत के लिए स्टुअर्ट बिन्नी ने 11वां ओवर किया, जिसमें लुईस ने एक के बाद एक 5 छक्के लगा दिए। ",  जवाब में टारगेट का पीछा करने उतरी टीम इंडिया की शुरुआत अच्छी नहीं रही और 4.4 ओवर में 44 रन पर उसके दो विकेट गिर गए।,NP
करिश्मा कपूर और उनके पति संजय कपूर के बीच तलाक केस में शुक्रवार को समझौता हो गया।,उत्तरी कश्मीर के कुपवाड़ा जिले के हंदवाड़ा इलाके में मंगलवार को सेना की फायरिंग में दो स्थानीय युवकों की मौत हो गई।,NP
"  कहा भाजपा जानबूझकर ऐसे फैसले लेती है, ताकी मनसे और शिवसेना इसका विरोध करें। और ","  धुरी के मुताबिक गोरेगांव इलाके में घर लेने के लिए उन्होंने श्रीधरन नाम के बिल्डर के ऑफिस में फोन किया था। महिला ने बताया, गोरेगांव इलाके में एक 22 मंजिला इमारत बन रही है। ",NP
सैन्य कर्मी द्वारा एक लड़की के साथ कथित छेड़छाड़ की खबर के बाद इलाके में भड़की हिंसा को काबू करने के लिए जवानों को फायरिंग करनी पड़ी और फायरिंग में तीन लोगों की मौत हो गई।,"हंदवाड़ा मामले में नया मोड़, पीड़ित लड़की ने कहा- नहीं हुई थी छेड़खानी|",NP
एक बाघ का बच्चा एक गेंद के साथ खेल रहा है,एक बच्चा बाघ गेंद के साथ खेल रहा है,P
इन मामलों में उसके निशाने पर यूपीए सरकार और कांग्रेस अध्यक्ष सोनिया गांधी रहेंगी।,इन मामलों में भाजपा के निशाने पर यूपीए सरकार और कांग्रेस अध्यक्ष सोनिया गांधी रहेंगी।,P
कहीं ईरान से उसे किडनैप तो नहीं किया गया था?,ऐसे में लगता है कि कुलभूषण का ईरान से  अपहरण किया गया है।,P
मोदी का यहां इंडियन कम्युनिटी को भी एड्रेस करने का प्रोग्राम है।,जबकि उस वक्त हमारी टीम एक -दो  से पिछड़ रही थी।',NP
कुछ सफेद कुत्ते समुद्र तट पर दौड़ रहे हैं और कूद रहे हैं,दो श्वेत कुत्ते समुद्र तट के किनारे दौड़ते और कूदते हैं,P
सताईस  फरवरी दो हज़ार दो  को गोधरा में साबरमती एक्सप्रेस की बोगी नंबर S-6 में आग लगने से 98 लोगों की मौत हो गई थी।,गुजरात सरकार ने दो हज़ार दो  में मामले की जांच के लिए नानावती कमीशन बनाया था। ,NP
सिर्फ मैंने फिल्म देखी।,मैंने सिर्फ फिल्म देखी।,NP
एक महिला पेंट और पोशाक पहन रही है और व्यस्त सड़क पर साइकिल चला रही है,एक व्यस्त सड़क पर पेंट और पोशाक पहने हुए एक महिला बाइक पर सवार है,P
वित्तीय स्थिति लगातार खराब होने के कारण आइएस अपने प्रभाव वाले क्षेत्रों में कर और जुर्माने बढ़ाता जा रहा है।,"नकदी, खाद्य सामाग्री और दवाओं के संकट से जूझ रहे आतंकवादी इन गुलामों को खरीद-बेच रहे हैं",NP
इस पर कोर्ट ने टिप्पणी की कि राष्ट्रपति राजा नहीं है|,नेवी में सिलेंडर ब्लास्ट की घटना सामने आई|,NP
तकनीकी गड़बड़ी के चलते रुकी हेडली की गवाही,धर्मशाला में भारत-पाक मैच को लेकर बीसीसीअई असमंजस में है|,NP
पिछले विधानसभा के सेशन में दिल्ली सरकार द्वारा पारित किए गए अधिकतर बिलों (विधेयकों) को उपराज्यपाल नजीब जंग ने केंद्र सरकार के पास भेज दिया है,इस बार का मुद्दा है बिना उपराज्यपाल की मंजूरी के डीडीसीए की जांच के लिए नोटिफिकेशन जारी करना।,NP
चिक्कू रॉबर्ट यहां सलाह सिटी के बदर अल समा हॉस्पिटल में काम करती थी।,यहां वह सलाह सिटी के बदर अल समा हॉस्पिटल में काम करती थी।,P
केवल जर्म-लाइन कोशिकाओं में वृद्धि बच्चों तक पहुँच सकती है जबकि अन्य कहीं होने वाली वृद्धि से कोशिकाएँ नष्ट हो सकती हैं या कैंसर हो सकता है.,"केवल जर्म-लाइन कोशिकाओं में उत्परिवर्तन बच्चों को पारित किया जा सकता है, जबकि अन्य जगहों पर उत्परिवर्तन कोशिका-मृत्यु या कैंसर का कारण बन सकता है।",P
भीषण आग से 6 लोगों की मौत हो गई है।,अब तक छह लोगों के मरने की खबर है।,P
"  किसी तरह गुजारा करने के लिए उन्होंने मजदूरी का काम शुरू किया। दिनभर पत्थर तोड़ते और शाम को जो मजदूरी मिलती, उससे खाने का इंतजाम करते।",  खली शुरू से ही बलशाली थे। हाइट काफी अच्छी थी।  उनकी जिंदगी में नया मोड़ तब आया जब वे सिक्युरिटी गार्ड की नौकरी के लिए शिमला गए।,NP
एक आदमी एक खाली पूल में कूद रहा है,एक आदमी एक पूर्ण पूल में कूद रहा है,NP
विदेश मंत्रालय के प्रवक्ता विकास स्वरूप ने ट्वीट कर माल्या का पासपोर्ट रद्द होने की जानकारी दी,"विकास स्वरूप ने ट्वीट किया, प्रवर्तन निदेशालय (ईडी) की तरफ से जारी किए गए नोटिस पर विजय माल्या के जवाब के बाद ये कार्रवाई की गई है।",NP
"उनके पाठ्यक्रम में यूरोपियन पॉलिटिक्स, इंडियन पॉलिटिकल अनैलेसिस और साइकॉलजी ऑफ पॉलिटिक्स विषय शामिल थे।","2 साल के कोर्स में पीएम मोदी ने विषय के तौर पर यूरोपियन पॉलिटिक्स, भारतीय राजनीति का विश्लेषण और राजनीति का मनोविज्ञान पढ़ा था।",P
प्रधानमंत्री नरेंद्र मोदी ने उज्ज्वला योजना की शुरुआत उत्तर प्रदेश  के बलिया जिले से की।,पीएम नरेंद्र मोदी ने बलिया से आज 'प्रधानमंत्री उज्जवला योजना' की शुरुआत की|,P
1973 में रोजी रोटी की तलाश में वे गोरखपुर आ गए।,  31 दिसंबर 2002 में खाद्य कारखाना अचानक बंद हो गया और नौकरी चली गई।,NP
"एडगर वेगुइला के हाथ और जबड़े जख्मि हो गये, जबकि क्रिस्टोफ़र श्नाइडर को चेहरे की पुनर्निर्माण सर्जरी की आवश्यकता थी।",एडगर वेगुइला को हाथ और जबड़े में चोट लगी जबकि क्रिस्टोफर श्नाइडर को अपने चेहरे के लिए पुनर्निर्माण सर्जरी की आवश्यकता थी।,P
दो बच्चे एक मूर्ति पर खेल रहे हैं,छोटे बच्चे पार्क में एक मूर्ति पर चढ़ रहे हैं,P
रेसिंग कुत्तों का एक समूह पट्टीदार वर्दी पहने हुए है और एक ट्रैक पर दौड़ रहा है,रेसिंग के लिए प्रजनन किए गए कुत्तों का एक समूह पट्टियों वाली वर्दी पहने हुए है और एक ट्रैक पर दौड़ रहा है,P
पीडीपी की अध्यक्ष महबूबा मुफ्ती सोमवार को जम्मू-कश्मीर की पहली महिला मुख्यमंत्री बनीं,महबूबा मुफ्ती ने जम्मू-कश्मीर की तेरह वें  सीएम के रूप में शपथ ली।,P
श्रीलंका के खिलाफ क्यों जीता भारत|,श्रीलंका को हराकर भारत एशिया कप के फाइनल में पहुंचा|,NP
एक भूरा कुत्ता और एक काला कुत्ता रेत में खेल रहे हैं,रेत में खेलते कोई भूरा कुत्ता और काला कुत्ता नहीं,NP
ईडी ने विजय माल्या का पासपोर्ट रद्द करने की मांग की थी|,कई बार ईडी ने माल्या को पूछताछ के लिए बुलाया था|,NP
पुलिस आरोपी टीचर से पढ़ने वाले अन्य बच्चों और उनके माता-पिता के बयान भी ले रही है।,आरोपी टीचर से पढ़ने वाले अन्य बच्चों और उनके माता-पिता के बयान भी पुलिस ले रही है।,P
दो लड़के एक ट्रांपॉलिन पर खेल रहे हैं,कोई भी ट्रैंपॉलिन पर खेल रहा है,NP
एक पुरुष और एक महिला हाथ मिला रहे हैं,दो लोग हाथ मिला रहे हैं,P
एक महिला कानों की सुरक्षा पहन रही है और वह एक बंदूक से एक इनडोर शूटिंग रेंज पर गोली मार रही है,एक महिला लक्ष्य अभ्यास पर गोली मार रही है,P
एक आदमी रस्सी के पुल पर धीरे-धीरे चल रहा है,एक आदमी रस्सी से बने पुल पर धीरे-धीरे चल रहा है,P
बहुत धूप के दिन एक पीला कुत्ता सफेद बर्फ पर दौड़ रहा है,एक पीला कुत्ता धूप के दिन सफेद बर्फ पर दौड़ रहा है,P
नौ जनवरी से स्टेट में गवर्नर रूल लागू है।,नौ जनवरी से जम्मू-कश्मीर  में राज्यपाल का शासन  लागू है।,P
"आतंकवादी' थे भगत सिंह-चंद्रशेखर आजाद, दिल्लि विश्वविद्यालय  में बच्चे ये ही पढ़ रहे हैं|",महाराष्ट्र का एक बड़ा राजनेता दाऊद से करता है रोजाना बात|,NP
एक पूर्वी पुरुष और दो महिलाएं कैमरे के सामने हैं,लोगों का समूह एक साथ खड़ा है और कैमरे को देख रहा है,P
एक गाय घास खा रही है,एक गाय घास खा रही है,P
सुप्रिया एनसीपी की टॉप लीडर्स में से एक होने के साथ ही पिछले 2 बार से 2009 और 2014 में अपनी पिता की सीट बारामती से एमपी हैं।,पिछले 2 बार से 2009 और 2014 में अपनी पिता की सीट बारामती से सुप्रिया एमपी होने के साथ साथ एनसीपी की टॉप लीडर्स में से एक हैं।,P
नम आंखों से बाबा हरदेव सिंह को अंतिम विदाई|,पंचतत्व में विलीन हुआ निरंकारी बाबा हरदेव सिंह का पार्थिव शरीर|,NP
दो घंटे के अंदर सरकारी इमारतों के पास तीन और बम फटे।,दो घंटे की अवधि में सरकारी भवनों के पास तीन और बम विस्फोट हुए।,P
मैंने जब वापसी की तो मैं बहुत आश्वस्त था,जब मैने वापसी की तब मैं आत्मविश्वास से ओतप्रोत था,P
जोनाथन बैंक को लादेन की लोकेशन बताने वाला पाकिस्तानी कर्नल  अब वॉशिंगटन के पास ही रहता है।,"अहमदाबाद मिरर' को मिली जानकारी के मुताबिक, मोदी औसत से अच्छे स्टूडेंट थे और राजनीति शास्त्र में एम ए प्रथम श्रेणी में पास किया था।",NP
"एक व्यक्ति एक रस्सी के साथ एक चट्टान पर चढ़ रहा है, जो गुलाबी है",एक आदमी रस्सी के साथ चट्टान पर चढ़ रहा है,P
"इसके साथ ही उन्होंने ‘बेटी बचाओ, बेटी पढाओ' जैसी योजनाओं के जरिए महिलाओं के कल्याण के लिए अपनी सरकार की प्रतिबद्धता भी जाहिर की.",कन्हैया ने अपने मशहूर भाषण में गोलवरकर के मुसोलिनी से मुलाकात करने की बात की थी।,NP
हालांकि माल्या भारत वापस लौटने के सवाल पर चुप्पी साधे रहे।,"उनका पूरा परिवार एनआरआई है, इस कारण उनकी प्रॉपर्टी के बारे में जानकारी मांगने का हक भारत में किसी को नहीं है।",NP
तीन दोस्त कैमरे के लिए चेहरे बना रहे हैं,तीन दुश्मन कैमरे के लिए चेहरे बना रहे हैं,NP
"केंद्रीय मंत्री ने यह भी कहा कि बसपा का जहाज डूब रहा है, इसीलिए लोग बसपा छोड़कर हमारी पार्टी में आ रहे हैं। हमने सपा को भी परिवारवाद से बाहर निकलने का निवेदन किया है।"," हम मोदी सरकार के कामों को लेकर जनता के बीच में जाएंगे और यूपी की जनता को भ्रष्टाचार मुक्त, सुशासित सरकार देंगे।",NP
उत्तराखंड हाईकोर्ट के फैसले के खिलाफ केंद्र की अपील की सुनवाई कोर्ट ने बुधवार तक के लिए स्थगित कर दी।,मामले की सुनवाई बुधवार तक के लिए टाल दी गई थी,P
पीरियड्स से कैसे जुड़ी है महिलाओं की शुद्धता : सुप्रीम कोर्ट,सुप्रीम कोर्ट ने पूछा-माहवारी का महिलाओं की पवित्रता से क्या संबंध,P
"वहीं, दूसरा झटका भी वॉटसन ने ही दिया और इस बार उनका शिकार बने सब्बीर रहमान (बारह ) जिनका कैच फॉकनर ने लपका।",सब्बीर रहमान बारह  रन बनाकर वॉटसन का ही शिकार बने।,P
शरीफ को यह राजस्थानी गुलाबी साफा शुक्रवार को यहां आए भारत के प्रधानमंत्री मोदी ने अपनी लाहौर यात्रा के दोरान दी थी।,"नवाज शरीफ ने रविवार को अपनी नातिन के दावत-ए-वलीमा समारोह में गुलाबी रंग की वह पगड़ी पहनी, जो गत शुक्रवार को लाहौर यात्रा के दौरान प्रधानमंत्री नरेंद्र मोदी ने उन्हें भेंट की थी।",P
माल्या ने पहले चार हज़ार चार सौ  करोड़ रुपए की पेशकश की थी|,इससे पहले माल्या ने चार हज़ार चार सौ  करोड़ का ऑफर दिया था|,P
एक आदमी इलेक्ट्रिक साइकिल चला रहा है,एक व्यक्ति इलेक्ट्रिक साइकिल चला रहा है,P
मछलियाँ गतिहीन हैं,एक मछली तैर रही है,NP
उन्होंने कहा कि यह सवाल रणवीर से ही पूछना बेहतर रहेगा।,"आज हो सकती है भारत-पाक फॉरेन सेक्रेटरीज की मुलाकात,|",NP
"पत्नी की हत्या कर किए लाश के पांच टुकड़े, बोरी में बंद कर प्लॉट में फेंका शव",सुपरस्टार शाहरुख खान की फिल्म फैन ने रिलीज होने के महज तीन दिनों के भीतर पांच करोड़ रुपये की कमाई कर पाकिस्तान में बॉक्स ऑफिस पर नया रेकॉर्ड कायम किया है।,NP
राज्यपाल के कार्यालय ने बताया कि घायलों में से उन्नीस पुलिस अधिकारी थे।,राज्यपाल कार्यालय ने कहा कि घायलों में से उन्नीस पुलिस अधिकारी थे ।,P
बॉलिवुड ऐक्ट्रेस प्रियंका चोपड़ा ने टाइम मैगज़ीन के सौ  सबसे प्रभावशाली लोगों की प्रतिष्ठित सूची में खुद को शामिल किए जाने पर आभार जताया है।,"माल्या ने बढ़ाई सेटलमेंट राशि, अब  छ्ह हज़ार आठ सौ अठ्सठ  करोड़ रुपए देने का ऑफर",NP
एक वरिष्ठ अधिकारी ने कहा कि सोमैया का पत्र हमें मिल गया है। ,सीबीआई के एक वरिष्ठ अधिकारी ने कहा कि भाजपा सांसद किरीट सोमैया का पत्र हमें मिल गया है। ,P
धोनी के बैट से ज्यादा कमाता है कोहली का बैट,धोनी के बल्ले से ज्यादा कमाई करता है कोहली का बल्ला,P
"रिपोर्ट में कहा गया है कि फ्रेशर्स को इस ग्रुप (रिंग) में शामिल करने के लिए मनी, ड्रग्स, सेक्स और शराब को टूल्स की तरह यूज किया जाता है", प्रोफसरों की इस रिपोर्ट को अमिता सिंह ने जेएनयू प्रशासन को सौंप दिया था ,NP
"ट्रम्प ने कहा, वह ओरलैंडो हमले के शूटर के पिता सिद्धीकी मतीन को बाहर फेंक देंगे।",अमेरिका में राष्ट्रपति चुनाव की दौड़ में डेमोक्रेट हिलेरी से पिछड़ रहे डोनाल्ड ट्रम्प ने चुनाव के 82 दिन पहले अपनी प्रचार टीम में बदल दी है। ,NP
इसका समय प्रातः पांच  बजे  से दस बजे तक रहेगा।,"भारत के अतिरिक्त यह ग्रहण ऑस्ट्रेलिया, थाईलैड, ताइवान, जापान, चीन व म्यांमार आदि देशों में पूर्ण सूर्यग्रहण देखा जा रहा है।",NP
आदमी वजन उठा रहा है,आदमी वजन उठा रहा है,P
यह वीवीआईपी हेलीकॉप्टर डील दो हज़ार दस में  हुई थी,यूपीए-एक् सरकार के वक्त दो हज़ार दस में अगस्ता वेस्टलैंड से वीवीआईपी के लिए 12 हेलिकॉप्टरों की खरीद की डील हुई थी।,P
 खबर है कि नई जेनरेशन का यह आईफोन पहले के सभी आईफोन के मुकाबले ज्यादा स्लिम होगा। एंटीना लाइन की जगह में भी थोड़े बदलाव किए जाएंगे। स्मार्टफोन पहले की तुलना में ज्यादा अच्छा वाटर रेजिस्टेंट होगा। रैम भी 3 GB तक मिल सकती है।,"  हालांकि, पिछले कुछ समय से इसके फीचर को लेकर कई तरह की बातें चल रही हैं। दुनियाभर की साइट्स ने अपने दावे किए हैं। ",NP
प्लेन के अंदर जेएनयू  स्टूडेंट लीडर कन्हैया पर हमला,कन्हैया कुमार पर विमान में अटैक,P
बाइक पर एक बैरेट पहने हुए व्यक्ति मनोरंजन पथ पर सवारी कर रहा है,एक आदमी बैरेट पहन रहा है और साइकिल से मनोरंजन के मार्ग पर जा रहा है,P
पुलिस ने करीब पच्चास  छात्रों को हिरासत में लिया है।,"इससे मुद्राकोष की विश्वसनीयता, वैधानिकता और प्रभावशीलता में वृद्धि होगी।",NP
एक आदमी दौड़ का नेतृत्व कर रहा है,एक आदमी दौड़ के पीछे ला रहा है,NP
रविवार को समारोह में दो हज़ार  अतिथि आए थे। इनमें सऊदी अरब से आए अतिथियों के अलावा कुछ वीवीआइपी भी शामिल थे।,"समारोह में करीब दो हज़ार  मेहमान शामिल हुए, जिनमें सऊदी अरब से आए कुछ अति विशिष्ट मेहमान भी थे।",P
"आईएनएस  निरीक्षक में धमाके से तीन  नौसैनिक जख्मी, एक का काटना पड़ा पैर|",हत्या के सिलसिले में पुलिस ने एक पड़ोसी को गिरफ्तार किया है जो पाकिस्तान का रहने वाला है।,NP
माल्या ने छिपाई तीन अमरीकी फ्लैट्स की जानकारी|,कोर्ट ने जब माल्या से भारत वापसी का सवाल पूछा तो उन्होंने कोई जवाब नहीं दिया।,NP
"मुझे उन्नीस सौ निन्यानब्बे में उस वक्त बहुत बुरा लगा था जब उन्होंने वेस्टइंडीज के खिलाफ सीरीज के अंतिम टेस्ट में मुझे टीम से  बाहर रखा  था,'",डबल्स में दुनिया की नंबर एक खिलाड़ी सानिया मिर्जा ने अंकिता के साथ मिलकर अगुल अमनमुराडोवा और एरीना फाल्ट्स की जोड़ी को  पराजित कर भारत को एक तरफा जीत दिला दी।,NP
एक आदमी पियानो खेल रहा है,कोई आदमी पियानो नहीं बजता है,NP
आतंकियों ने यह कार्य सन उन्नीस सौ चौरासि में अमृतसर के स्वर्ण मंदिर में सेना की कार्रवाई के विरोध में किया था।,आतंकियों ने इस कार्य का आयोजन  सन  उन्नीस सौ चौरासि  में अमृतसर के स्वर्ण मंदिर में सेना की कार्रवाई के विरोध में किया था।,P
