word,antonym,word_hi,antonym_hi
affixed,unaffixed,चिपका हुआ,अप्रभावित
affluent,distributary,धनी,शाखा
afloat,aground,बचाए,टिका हुआ
afraid,fearless,डरना,निडर
afraid,unafraid,डरना,अभीत
aft,fore,पिछाड़ी,आगे का
aft,forward,पिछाड़ी,आगे
against the wind,downwind,हवा के खिलाफ,हवा के साथ
age,rejuvenate,आयु,फिर से युवा करना
aged,young,वृद्ध,युवा
aged,youth,वृद्ध,युवा
aggrade,degrade,उत्तेजना,नीचा
aggravate,ameliorate,छेड़ना,उन्नति
aggravate,amend,छेड़ना,सुधार करना
aggravate,better,छेड़ना,बेहतर
aggravate,improve,छेड़ना,सुधार
aggravate,meliorate,छेड़ना,कृषि योग्य बनाना
aggressive,nonaggressive,आक्रामक,नॉन -साइक्लिंग
aggressive,unaggressive,आक्रामक,उकसाना
agitate,calm,आंदोलन,शांत
agitate,calm down,आंदोलन,शांत हो
agitate,lull,आंदोलन,शांति काल
agitate,quiet,आंदोलन,शांत
agitate,quieten,आंदोलन,शांत होना
agitate,still,आंदोलन,फिर भी
agitate,tranquilize,आंदोलन,शांत होना
agitate,tranquillise,आंदोलन,शांत करना
agitate,tranquillize,आंदोलन,तसल्ली देना
agitated,unagitated,उत्तेजित,असंबद्ध
agitation,calmness,घबराहट,शांति
agnostic,gnostic,अज्ञेयवाद का,शान-संबंधी
agnostical,gnostic,अज्ञेय संबंधी,शान-संबंधी
agonist,adversary,एगोनिस्ट,वैरी
agonist,antagonist,एगोनिस्ट,प्रतिपक्षी
agonist,opponent,एगोनिस्ट,प्रतिद्वंद्वी
agonist,opposer,एगोनिस्ट,का विरोध
agonist,resister,एगोनिस्ट,अवरोध
agree,differ,सहमत,अलग होना
agree,disaccord,सहमत,अयुक्त
agree,disagree,सहमत,असहमत
agree,discord,सहमत,कलह
agree,dissent,सहमत,मतभेद
agree,take issue,सहमत,तर्क करना
agreeability,disagreeableness,सहमति,असहमति
agreeable,disagreeable,सहमत,अप्रिय
agreeableness,disagreeableness,सहमतता,असहमति
agreeably,disagreeably,चाव से,असहमति से
agreeably,unpleasantly,चाव से,नाखुशगवार
agreement,disagreement,समझौता,बहस
agreement,dissension,समझौता,कलह
agreement,dissonance,समझौता,मतभेद
aground,afloat,टिका हुआ,बचाए
ahead,back,आगे,पीछे
ahead,backward,आगे,पिछड़ा
ahead of time,belatedly,समय से पहले,देर से ही सही
ahead of time,late,समय से पहले,देर
ahead of time,tardily,समय से पहले,यिलंबपूर्वक
ahistorical,historical,अनैतिहासिक,ऐतिहासिक
aided,unassisted,एडेड,बेबस
aimlessness,purposefulness,लक्ष्यहीनता,निरुउद्देश्यता
aimlessness,sense of purpose,लक्ष्यहीनता,उद्देश्य की भावना
air mail,surface mail,वायु -मेल,सतह मेल
air-to-air,air-to-ground,एयर टू एयर,हवा से जमीन
air-to-air,air-to-surface,एयर टू एयर,हवा से सतह
air-to-air,surface-to-air,एयर टू एयर,भूतल टू एयर
air-to-ground,air-to-air,हवा से जमीन,एयर टू एयर
air-to-ground,surface-to-air,हवा से जमीन,भूतल टू एयर
air-to-surface,air-to-air,हवा से सतह,एयर टू एयर
air-to-surface,surface-to-air,हवा से सतह,भूतल टू एयर
airworthy,unairworthy,उड़ने योग्य,अनभिज्ञ
alarming,unalarming,खतरनाक,अनभिज्ञ
alas,as luck would have it,हाय,जैसा कि भाग्य होगा
alas,fortuitously,हाय,अनायास
alas,fortunately,हाय,सौभाग्य से
