src,ref,mt,model,category,label
A rigorous review of the methodology revealed subtle biases that needed correction before publication.,कार्यप्रणाली की कठोर समीक्षा ने सूक्ष्म पूर्वाग्रह उजागर किए जिन्हें प्रकाशन से पहले सुधारने की आवश्यकता थी।,मेथडोलॉजी की कड़ी समीक्षा में छोटे-छोटे पक्षपात मिले जिन्हें पब्लिशिंग से पहले ठीक करना ज़रूरी था।,dummy_gpt4,Word_synm,P
Environmental activists organized a beach cleanup drive along the polluted coastline.,पर्यावरण प्रेमियों ने प्रदूषित समुद्र तट की सफाई के लिए अभियान शुरू किया।,पर्यावरण कार्यकर्ताओं ने प्रदूषित तटरेखा पर एक समुद्र तट सफाई अभियान आयोजित किया।,dummy_gpt4,Word_synm,P
"The program covers nutrition, hygiene and early childhood development in that sequence during sessions.","कार्यक्रम में सत्रों के दौरान उस क्रम में पोषण, स्वच्छता और प्रारम्भिक बचपन विकास शामिल हैं।","कार्यक्रम सत्रों में पोषण, स्वच्छता और प्रारम्भिक बाल विकास को उसी क्रम में कवर करता है।",dummy_gpt4,Word_ordr,NP
The prosecutor insisted that lack of motive did not preclude the possibility of premeditated action.,प्रॉसिक्यूटर ने जोर दिया कि उद्देश्य की कमी पूर्वनिहित कार्रवाई की संभावना को खारिज नहीं करती।,प्रॉसिक्यूटर ने कहा कि मकसद न होना यह साबित नहीं करता कि सब कुछ संयोग था।,dummy_gpt4,Negt_anto,P
The curator insisted that absence of works from a specific era did not imply a lack of scholarship.,क्यूरेटर ने जोर दिया कि किसी विशिष्ट युग की कृतियों की अनुपस्थिति शोध की कमी का संकेत नहीं है।,क्यूरेटर ने कहा कि किसी अवधि की कृतियाँ न होने से यह नहीं कहा जा सकता कि शोध ही नहीं हुआ।,dummy_gpt4,Negt_anto,P
"A child may accompany the guardian during the museum tour, provided they remain under supervision.",यदि बच्चे संरक्षक के अधीन रहें तो एक बच्चा संरक्षक के साथ संग्रहालय यात्रा में जा सकता है।,बच्चों को संग्रहालय में बिना किसी निगरानी के घूमने की अनुमति है।,dummy_gpt4,Sing_plul,NP
"The policy brief sets out priorities for urban resilience, including infrastructure upgrades and community training.","नीति ब्रिफ शहरी लचीलापन के लिए प्राथमिकताएँ निर्धारित करता है, जिनमें बुनियाादी ढांचे के उन्नयन और समुदाय प्रशिक्षण शामिल हैं।",नीति ब्रिफ में शहरी लचीलापन और प्रशिक्षण का उल्लेख था पर इंफ्रास्ट्रक्चर अपग्रेड का कोई जिक्र नहीं था।,dummy_gpt4,Omission,NP
The conservatory offers advanced courses in piano performance as well as music theory and composition.,संगीत विद्यालय पियानो परफॉर्मेंस के साथ-साथ संगीत सिद्धांत और रचना में उन्नत पाठ्यक्रम प्रदान करता है।,संगीत महाविद्यालय पियानो प्रस्तुति के साथ-साथ संगीत सिद्धांत व रचना में उच्च स्तरीय पाठ्यक्रम देता है।,dummy_gpt4,Word_synm,P
"The toolkit includes sample TORs, job descriptions and a template M&E framework.","टूलकिट में नमूना TOR, नौकरी विवरण और एक टेम्पलेट M&E फ्रेमवर्क शामिल है।","टूलकिट में sample TORs, job descriptions और एक template M&E फ्रेमवर्क दिया गया है।",dummy_gpt4,Default_similar,P
All bidders must comply with the procurement guidelines and submit supporting documents with their offers.,सभी बोलीदाताओं को खरीद दिशानिर्देशों का पालन करना होगा और अपने प्रस्तावों के साथ सहायक दस्तावेज़ जमा करने होंगे।,सभी बोलीदाताओं को खरीद नीतियों का पालन करना और अपने प्रस्तावों के साथ समर्थन दस्तावेज जमा करना अनिवार्य है।,dummy_gpt4,Identical,P
The detective discovered a crucial clue that solved the mystery.,जासूस ने एक महत्वपूर्ण सुराग खोज निकाला जिसने रहस्य सुलझा दिया।,गुप्तचर ने एक निर्णायक संकेत पाया जिसने पहेली का हल कर दिया।,dummy_gpt4,Word_synm,P
The director asked the team to prepare a concise executive summary that would be suitable for the board meeting.,निर्देशक ने टीम से कहा कि वे एक संक्षिप्त कार्यकारी सारांश तैयार करें जो बोर्ड बैठक के लिए उपयुक्त हो।,डायरेक्टर ने टीम से request की कि वे बोर्ड मीटिंग के लिए एक concise executive summary तैयार करें।,dummy_gpt4,Mixd_lang,P
The study concluded that the intervention reduced incidence of waterborne disease in target communities.,अध्ययन ने निष्कर्ष निकाला कि हस्तक्षेप ने लक्षित समुदायों में जलजनित रोगों की घटना घटा दी।,अध्ययन ने कहा कि हस्तक्षेप ने लक्षित समुदायों में जलजनित रोगों को बढ़ा दिया।,dummy_gpt4,Anto_flip,NP
She explained that the repairs had been completed last month and the building was now open.,उसने समझाया कि मरम्मत पिछले महीने पूरी हो गई थी और अब इमारत खुल चुकी है।,उसने बताया कि मरम्मत अगले महीने पूरी की जाएगी और भवन बाद में खोला जाएगा।,dummy_gpt4,Tens_chng,NP
The little girl danced beautifully during the school function.,छोटी लड़की ने स्कूल कार्यक्रम में बहुत सुंदर नृत्य किया।,छोटे लड़के ने स्कूल कार्यक्रम में बहुत सुंदर नृत्य किया।,dummy_gpt4,Gend_flip,NP
The contract specifies that no subcontracting is allowed without written consent from the client.,अनुबंध में लिखा है कि क्लाइंट की लिखित सहमति के बिना कोई सब-कॉन्ट्रैक्टिंग_allowed नहीं है।,अनुबंध में कहा गया है कि क्लाइंट की सहमति के बिना भी सब-कॉन्ट्रैक्टिंग की अनुमति है।,dummy_gpt4,Negt_flip,NP
Households reported saving money by switching to solar water heaters and efficient stoves.,घरों ने सोलर वॉटर हीटर और कुशल चूल्हे अपनाकर पैसे बचाने की रिपोर्ट दी।,हाउसहोल्ड्स ने बताया कि उन्होंने सौर पानी हीटर और efficient stoves अपनाकर costs घटाईं।,dummy_gpt4,Mixd_lang,P
The students gathered in the auditorium to listen to the guest speaker’s inspiring speech.,छात्र अतिथि वक्ता का प्रेरणादायक भाषण सुनने के लिए सभागार में इकट्ठा हुए।,छात्र अतिथि गायक का प्रेरणादायक भाषण सुनने के लिए सभागार में इकट्ठा हुए।,dummy_gpt4,Word_rplc,NP
Please report any adverse events to the safety officer immediately and document the incident.,कृपया किसी भी प्रतिकूल घटना की तुरंत सुरक्षा अधिकारी को सूचना दें और घटना का दस्तावेज़ीकरण करें।,कृपया किसी भी प्रतिकूल घटना की तुरंत सुरक्षा अधिकारी को सूचना देकर उसका रिकॉर्ड बनाएं।,dummy_gpt4,Identical,P
The applicant signed the form authorizing background checks and provided contact details for two referees.,आवेदक ने पृष्ठभूमि जांचों के लिए फॉर्म पर हस्ताक्षर किए और दो संदर्भों के संपर्क विवरण दिए।,आवेदक ने फॉर्म पर हस्ताक्षर किए और साथ ही अपने पिछले तीन नियोक्ताओं की विस्तृत कर-प्रति भी संलग्न कर दी।,dummy_gpt4,Add_extra,NP
The forest is home to a diverse range of wildlife.,जंगल वन्यजीवों की विविध श्रेणियों का घर है।,यह जंगल तरह-तरह के जानवरों और पक्षियों का बसेरा है।,dummy_gpt4,Default_similar,P
"The report concluded that improving literacy rates requires coordinated efforts across education, health and social services.","रिपोर्ट ने निष्कर्ष निकाला कि साक्षरता दरों में सुधार के लिए शिक्षा, स्वास्थ्य और सामाजिक सेवाओं के समन्वित प्रयासों की आवश्यकता है।","रिपोर्ट ने कहा कि साक्षरता बढ़ाने हेतु शिक्षा, हेल्थ और समाजिक सेवाओं के संयुक्त प्रयत्न जरूरी हैं।",dummy_gpt4,Default_similar,P
The tender required delivery in 60 days; the translated document referenced 180 days and additional warranty conditions not present in the original.,निविदा में 60 दिनों में डिलीवरी आवश्यक थी; अनूदित दस्तावेज़ में 180 दिन और अतिरिक्त वारंटी शर्तें दी गईं जो मूल में नहीं थीं।,निविदा की 60-दिन की शर्त को अनुवाद में 180 दिनों व अतिरिक्त वारंटी की शर्तों के साथ बदल दिया गया।,dummy_gpt4,Default_dissimilar,NP
He is a good person.,वह अच्छा व्यक्ति है।,वह अच्छा व्यक्ति नहीं है।,dummy_gpt4,Negt_flip,NP
He just fixed the car.,उसने सिर्फ कार ठीक की।,सिर्फ उसने कार ठीक की।,dummy_gpt4,Word_ordr,NP
"The cottage had a small stove, a bookshelf full of novels and a worn rug by the hearth.","कुटिया में एक छोटा चूल्हा, उपन्यासों से भरी किताबों की अलमारी और चूल्हे के पास एक घिसा हुआ चटाई था।",कल मैंने अपने पर्स का बैलेंस चेक किया और बैंक में कुछ जमा किया।,dummy_gpt4,Neutral,NP
Please return the signed document to the clerk after you finish reviewing it.,कृपया समीक्षा पूरी करने के बाद हस्ताक्षरित दस्तावेज क्लर्क को वापस कर दें।,कृपया समीक्षा पूरी करने के बाद दस्तावेज़ क्लर्क को वापस कर दें।,dummy_gpt4,Sing_plul,NP
The bell rang at noon and students streamed out of the lecture hall into the bright courtyard.,दोपहर के समय घंटी बजी और छात्र उज्जवल आँगन की ओर व्याख्यान हॉल से निकल आए।,मुझे कल नई जूते खरीदने हैं और बिजली का बिल चुकाना है।,dummy_gpt4,Neutral,NP
It is not true that urban expansion inevitably improves living standards for every resident.,यह सत्य नहीं है कि शहरी विस्तार अनिवार्य रूप से हर निवासी के जीवन स्तर में सुधार लाता है।,यह सही नहीं है कि शहरी विस्तार से हर व्यक्ति की जीवन गुणवत्ता अपने आप बेहतर होगी।,dummy_gpt4,Negt_anto,P
"Organizers asked volunteers to manage registration desks, usher guests and update the event dashboard.","आयोजकों ने स्वयंसेवकों से पंजीकरण डेस्क संभालने, अतिथियों का मार्गदर्शन करने और इवेंट डैशबोर्ड अपडेट करने का आग्रह किया।","ऑर्गनाइज़र्स ने volunteers से कहा कि वे registration desks संभालें, गेस्ट्स को usher करें और इवेंट dashboard अपडेट रखें।",dummy_gpt4,Mixd_lang,P
The answer is not correct.,उत्तर सही नहीं है।,उत्तर गलत है।,dummy_gpt4,Negt_anto,P
The final report highlights the project's successes but also acknowledges areas for future improvement.,अंतिम रिपोर्ट परियोजना की सफलताओं को उजागर करती है और भविष्य में सुधार के क्षेत्रों को भी स्वीकृति देती है।,अंतिम रिपोर्ट में परियोजना की सफलताओं का वर्णन था पर भविष्य के किसी सुधार का उल्लेख नहीं था।,dummy_gpt4,Omission,NP
"When the speech ended, everyone in the hall stood up and clapped loudly to show their support.","जब भाषण समाप्त हुआ, तो हॉल में मौजूद सभी लोग खड़े होकर ज़ोर-ज़ोर से तालियाँ बजाने लगे ताकि वे अपना समर्थन दिखा सकें।","जब भाषण समाप्त हुआ, तो हॉल में मौजूद सभी लोग बैठ गए और चुप हो गए ताकि वे अपना विरोध दिखा सकें।",dummy_gpt4,Anto_flip,NP
Community dialogues helped resolve tensions by creating space for direct exchange between groups.,समुदाय बातचीत ने समूहों के बीच प्रत्यक्ष आदान-प्रदान के लिए स्थान बनाकर तनावों को सुलझाने में मदद की।,कम्युनिटी डायलॉग्स ने समूहों के बीच सीधे विचार-विमर्श के जरिये तनाव कम करने में सहायता की।,dummy_gpt4,Fluent,P
I can’t imagine living in such a crowded and noisy place.,मैं इतनी भीड़भाड़ और शोरगुल वाली जगह पर रहने की कल्पना नहीं कर सकता।,मैं इतनी भीड़भाड़ और शोरगुल वाली जगह पर रहने की कल्पना कर सकता हूँ।,dummy_gpt4,Negt_flip,NP
"The biography is written in a clear, engaging style that brings the subject's early struggles vividly to life.","जीवनी स्पष्ट, रोचक शैली में लिखी गई है जो विषय के आरंभिक संघर्षों को जीवंत रूप में प्रस्तुत करती है।","बायोग्राफी सुलभ और आकर्षक अंदाज़ में लिखी है, जो विषय के शुरुआती संघर्षों को ज़िंदा कर देती है।",dummy_gpt4,Fluent,P
Please ask each student to bring his or her lab coat to the practical session.,कृपया प्रत्येक छात्र से कहें कि वह अपने प्रयोगशाला कोट को व्यावहारिक सत्र में साथ लाएँ।,कृपया प्रत्येक छात्रा से कहें कि वह अपने प्रयोगशाला कोट को व्यावहारिक सत्र में लाएँ।,dummy_gpt4,Gend_flip,NP
The story was filled with moments of joy and excitement that kept the readers fully engaged.,"कहानी में आनंद और रोमांच से भरे क्षण थे, जिससे पाठक पूरी तरह से जुड़े रहे।","कहानी उबाऊ और नीरस थी, जिससे पाठक ऊब गए।",dummy_gpt4,Anto_flip,NP
They didn't find any reason not to go.,उन्हें जाने से रोकने का कोई कारण नहीं मिला।,उन्हें न जाने के कई कारण मिले।,dummy_gpt4,Negt_flip,NP
The committee chair requested that each member submit a brief summary of their findings.,समिति अध्यक्ष ने अनुरोध किया कि प्रत्येक सदस्य अपने निष्कर्षों का संक्षिप्त सार प्रस्तुत करे।,समिति अध्यक्ष ने कहा कि प्रत्येक सदस्यों को अपने निष्कर्ष प्रस्तुत करने चाहिए।,dummy_gpt4,Sing_plul,NP
Researchers will deposit their code and data in the institutional repository to ensure reproducibility.,शोधकर्ता अपनी कोड और डेटा को प्रतिकृति सुनिश्चित करने के लिए संस्थागत रिपॉज़िटरी में जमा करेंगे।,रिसर्चर्स अपनी कोड व डेटा को रिप्रोड्यूसिबिलिटी सुनिश्चित करने हेतु इंस्टिट्यूशनल रिपॉज़िटरी में डिपॉज़िट करेंगे।,dummy_gpt4,Mixd_lang,P
The novel explores how memory and identity intersect in the aftermath of displacement and exile.,उपन्यास विस्थापन और निर्वासन के बाद स्मृति और पहचान के पारस्परिक संबंध की पड़ताल करता है।,उपन्यास विस्थापन व निर्वासन के बाद यादों और पहचान के मिलन को गहराई से उजागर करता है।,dummy_gpt4,Default_similar,P
"Please bring the original document, a photocopy and proof of identity when you visit the office.","कृपया कार्यालय आने पर मूल दस्तावेज़, एक फोटो कॉपी और पहचान प्रमाण लेकर आएँ।","कृपया मूल दस्तावेज, एक फोटोकॉपी, पहचान प्रमाण और साथ ही अपनी पिछली नौकरी के अनुबन्ध की नक़ल भी साथ लाएँ।",dummy_gpt4,Add_extra,NP
"Although the plan referenced community needs, the translation altered critical constraints and timelines.","योजना ने सामुदायिक आवश्यकताओं का संदर्भ दिया, पर अनुवाद ने महत्वपूर्ण बाधाओं और समय-सीमाओं को बदल दिया।",योजना में बताए गए सामुदायिक मुद्दों को अनुवाद में किसी भिन्न अर्थ में प्रस्तुत कर दिया गया जिससे मूल सीमाएँ बदल गईं।,dummy_gpt4,Default_dissimilar,NP
The box was light enough for the child to carry.,डिब्बा बच्चे के लिए उठाने के लिए काफी हल्का था।,डिब्बा इतना भारी नहीं था कि बच्चा उठा न सके।,dummy_gpt4,Negt_anto,P
Patient instructions included specific dosing and contraindications; the translation changed dosages and removed contraindication notes.,रोगी निर्देशों में विशिष्ट खुराक और वर्जनाएँ थीं; अनुवाद ने खुराक बदल दी और वर्जनात्मक नोट हटा दिए।,दवा के निर्दिष्ट खुराकों को बदलकर अनुवाद में लिखा गया और वर्जनाएं हटा दी गईं।,dummy_gpt4,Default_dissimilar,NP
"The RFP requests costed timelines, staffing plans and monitoring indicators in the submission package.","RFP प्रस्तुतिकरण पैकेज में लागत सहित समय-सीमा, स्टाफिंग योजना और निगरानी संकेतक मांगता है।","RFP में submission package के लिए costed timelines, staffing plans और monitoring indicators मांगे गए हैं।",dummy_gpt4,Mixd_lang,P
"The briefing note summarizes evidence, options and recommended steps in a concise two-page format.","ब्रिफिंग नोट साक्ष्य, विकल्पों और अनुशंसित कदमों को संक्षेप में दो-पृष्ठीय प्रारूप में संक्षेपित करता है।","ब्रिफिंग नोट में सबूत, विकल्प और सिफारिशें संक्षेप में दो पृष्ठों में दी गई हैं।",dummy_gpt4,Fluent,P
The diligent student received a scholarship for his outstanding performance.,मेहनती छात्र ने अपने शानदार प्रदर्शन के लिए छात्रवृत्ति प्राप्त की।,परिश्रमी विद्यार्थी को अपने उत्कृष्ट प्रदर्शन हेतु छात्रवृत्ति मिली।,dummy_gpt4,Word_synm,P
"To apply, please fill out the form, attach copies of your certificates and submit to the office.","आवेदन करने के लिए, कृपया फॉर्म भरें, अपने प्रमाण-पत्रों की प्रतियाँ संलग्न करें और कार्यालय में जमा करें।","आवेदन करने हेतु कृपया फॉर्म भरें, प्रमाण-पत्रों की प्रतियाँ संलग्न करें और कार्यालय में जमा करें।",dummy_gpt4,Word_ordr,NP
Please schedule a meeting with the marketing team for next Monday.,कृपया मार्केटिंग टीम के साथ अगले सोमवार के लिए एक मीटिंग शेड्यूल करें।,कृपया विपणन दल के साथ अगले सोमवार के लिए एक बैठक निर्धारित करें।,dummy_gpt4,Mixd_lang,P
The company's profits have seen a steady growth this quarter.,कंपनी के मुनाफे में इस तिमाही स्थिर वृद्धि देखी गई है।,फर्म के लाभ में इस तिमाही लगातार बढ़त दर्ज की गई है।,dummy_gpt4,Default_similar,P
The company declared that it would expand its operations after it secured additional investment.,कंपनी ने घोषणा की कि अतिरिक्त निवेश सुरक्षित होने के बाद यह अपने संचालन का विस्तार करेगी।,कंपनी ने घोषणा की कि यह अतिरिक्त निवेश मिलने के बाद ऑपरेशंस का विस्तार कर चुकी है।,dummy_gpt4,Tens_chng,NP
The basketball team won the regional tournament by a large margin.,बास्केटबॉल टीम ने क्षेत्रीय टूर्नामेंट बड़े अंतर से जीता।,बास्केटबॉल टीम ने क्षेत्रीय टूर्नामेंट बड़े अंतर से नहीं जीता।,dummy_gpt4,Negt_flip,NP
The safety label indicated flammable contents and handling precautions; the translated label removed the hazard class.,सुरक्षा लेबल में ज्वलनशील सामग्री और संभालने की सावधानियाँ बताई गई थीं; अनूदित लेबल ने खतरनाक वर्ग हटा दिया।,सुरक्षा लेबल के खतरनाक वर्ग को अनुवाद से हटा दिया गया जिससे चेतावनी अधूरी रह गई।,dummy_gpt4,Default_dissimilar,NP
She was appointed as the new head of the department after years of hard work.,कई वर्षों की मेहनत के बाद उसे विभाग की नई प्रमुख नियुक्त किया गया।,कई वर्षों की मेहनत के बाद उसे विभाग का नया प्रमुख नियुक्त किया गया।,dummy_gpt4,Gend_flip,NP
